timestamps,Delta,Theta,Alpha,Beta,Gamma,Label
254409.191,-48.02996434013962,-36.38532407495146,-24.31167477590205,-58.95812206714616,510.0640313272267,right
254409.195,-45.59567133460407,-34.85760520430976,-18.669292613966523,-103.55442185001635,-548.211085017853,right
254409.198,-43.095742378437855,-32.46148342218002,-11.347249776093191,-130.26703820654134,-459.8538609552221,right
254409.202,-40.53683819115098,-29.218810510274352,-3.006578982689503,-128.1175880809298,388.0367748759374,right
254409.206,-37.936644412032734,-25.19877031459705,5.5210800050754845,-97.34442994861747,375.158508318313,right
254409.209,-35.313998788545675,-20.49856293301085,13.37062938433597,-42.16032616241993,-299.0609257007558,right
254409.213,-32.68558410282354,-15.234564021217947,19.754068304107506,28.248434859583803,-321.7185587378295,right
254409.217,-30.073186977295855,-9.55085662121116,24.01689206978054,95.35800644730566,144.49929300090312,right
254409.223,-27.50638874615342,-3.6184139661419774,25.702416563264894,138.1433871380164,344.82815653610425,right
254409.226,-25.012273991707065,2.3890021939131554,24.64938477254869,147.50708067007403,46.91314653386696,right
254409.23,-22.60567517546952,8.317261573785762,21.047418901301985,129.4260585543705,-476.849139757364,right
254409.234,-20.29504903587137,14.025935592144126,15.380727233495112,92.5943045580805,-190.68526228210283,right
254409.238,-18.09275095531681,19.37442436935406,8.322812684764218,40.78667151033663,570.1853442872632,right
254409.242,-16.008839912930007,24.23659571751923,0.685279146569331,-18.489447387893488,315.4579077490127,right
254409.245,-14.037181017949692,28.527404215718256,-6.618318419327466,-68.40368094381334,-575.8748334653762,right
254409.249,-12.159879645020718,32.19563291999462,-12.702674798880704,-96.24352464826728,-459.3130260745818,right
254409.253,-10.36483059586782,35.19322812940877,-16.88828926382773,-105.6877454187224,559.6874462844145,right
254409.257,-8.648961070095448,37.4702484932644,-18.78294732542477,-106.64441010445634,492.4880159719011,right
254409.26,-7.00886707897538,38.99210341896748,-18.271297022257905,-100.01393173779212,-467.5353885133874,right
254409.264,-5.441001809475763,39.73991994922631,-15.51456475113648,-80.27767585196344,-305.21115412079394,right
254409.268,-3.950180440752969,39.69662825669836,-10.953401974196556,-46.09770702695096,299.6386038564809,right
254409.272,-2.5493271084783684,38.84887252347907,-5.239763699001277,-1.2635120101617836,176.53444229895973,right
254409.276,-1.2496508728439937,37.20544341436606,0.8917609286273652,49.83882674792134,-144.16853799403688,right
254409.279,-0.0555333640330232,34.80639022885255,6.7316362586216485,100.39624239062051,-292.0316668206345,right
254409.283,1.0294879562646528,31.7117302477594,11.644525290009396,136.13598643446136,-7.88010537542142,right
254409.287,1.9967326824257228,27.98979992763564,15.107751158060356,140.11338639985084,409.0573914420813,right
254409.291,2.8389589667323336,23.72712612283486,16.78914491574068,107.59706512014772,195.86030558701037,right
254409.294,3.5609042733226715,19.043877204804883,16.61393809446607,52.32079524365237,-449.4079800627883,right
254409.299,4.175134987274104,14.082203972966155,14.734264134511289,-6.465254605729967,-347.9421831188889,right
254409.303,4.690267069828947,8.980915772853354,11.444049970425803,-57.3562194198222,525.4499576081633,right
254409.307,5.1154577350684605,3.8787153803897416,7.155036472454387,-92.55126763073665,425.8687552943165,right
254409.311,5.475210538104649,-1.0653266287878196,2.4043259687407423,-101.88423700829593,-606.4613698074309,right
254409.315,5.805908371698335,-5.684225313313309,-2.232162933425828,-83.7159490002748,-511.5961936967853,right
254409.318,6.137210295527879,-9.84140609840142,-6.287305184196893,-54.2721598864205,583.798131841624,right
254409.322,6.488681913207446,-13.44052281799886,-9.45832349991248,-33.056100217947474,584.1871954007249,right
254409.326,6.882758203495699,-16.40532140731037,-11.566806296883389,-23.10205098083294,-443.6614577312986,right
254409.33,7.346516172151587,-18.67829202258776,-12.553486601064538,-14.58858482694484,-541.3968639983411,right
254409.334,7.898383332521743,-20.244179363730023,-12.521857453762864,-1.5356556048706111,292.70864887412824,right
254409.338,8.542581220055244,-21.137638907292427,-11.723918191303984,14.81553088456621,430.3980537857622,right
254409.342,9.27794860330737,-21.423863695130017,-10.466670361116504,34.00008176087797,-144.79437445945888,right
254409.346,10.104960512173058,-21.18156347516709,-9.027660274247395,57.12388890827183,-331.46704237601523,right
254409.349,11.021099756870342,-20.50585361664918,-7.632326475891188,79.26367992033295,-66.13500585929548,right
254409.353,12.014748163852182,-19.512994990759505,-6.448058012810424,88.72097196430641,323.00290341034764,right
254409.357,13.071819773240057,-18.322554356432825,-5.535265850990714,78.51906233761407,274.1674391795006,right
254409.361,14.18780411579525,-17.031124120782845,-4.798533649778701,53.77208086558242,-446.99210198123336,right
254409.365,15.365334409828666,-15.712949555836314,-4.029062967025904,22.531334443395878,-378.6855248991177,right
254409.369,16.60302157283072,-14.436741184235364,-3.0004273023581884,-13.483600541340987,556.4460658087179,right
254409.373,17.899686883197532,-13.256301367304838,-1.4989456148072802,-51.38044778945662,418.8039758866262,right
254409.388,19.268854692449136,-12.185009310264212,0.6872879579919772,-79.43770986226828,-579.1181404435332,right
254409.392,20.735597540473044,-11.203286791182036,3.698916865611065,-88.49763267388701,-493.431394589444,right
254409.396,22.31817821920361,-10.29330804234843,7.484792203240278,-84.42100557130166,527.8793910455701,right
254409.4,24.02217608913932,-9.451140423012466,11.771286493377923,-78.73908446748386,510.0775596733399,right
254409.403,25.84876412620716,-8.673452390310967,16.128268874601883,-72.41125324860428,-357.8262898431368,right
254409.407,27.796668062107376,-7.954991572953729,20.03076011798386,-56.75839577623641,-323.1865359220744,right
254409.411,29.85495794793913,-7.301495313581567,22.898040344977385,-25.81249048673475,140.86001545562343,right
254409.415,32.00041296725563,-6.733582937766352,24.16631180261994,18.28148221301505,175.17268930134276,right
254409.418,34.204835441584535,-6.2726483995887055,23.405327531975896,68.9762941500039,28.586150076347327,right
254409.422,36.442821304601495,-5.926284886692386,20.418263637197025,117.58949846874889,-261.1882497407503,right
254409.426,38.68946460307681,-5.691946781676977,15.26698545579201,150.4980192217466,-176.10852453067824,right
254409.43,40.91503333792664,-5.566166817215619,8.253720402021305,151.82617280650567,417.99151818319,right
254409.433,43.09324324385516,-5.530569338522585,-0.0682251022048292,117.05453110654034,323.170552779573,right
254409.437,45.21541502904638,-5.529376426250728,-8.895992021063213,59.59975125088581,-579.743455386983,right
254409.441,47.28605961676281,-5.481351052238173,-17.29589020287035,-3.4133147107424664,-443.6901526525777,right
254409.445,49.30556774267333,-5.314721245595085,-24.39052484864498,-65.29721409035093,623.6241084504197,right
254409.448,51.26800886673946,-4.974922420782379,-29.46616397696889,-122.26327456563229,500.5609636572532,right
254409.452,53.17270431959616,-4.407841669687916,-31.999507526146523,-161.4086991423518,-463.3589354173296,right
254409.456,55.02385260524667,-3.5638390796369643,-31.716043194744916,-168.10110047335075,-466.7026927283534,right
254409.46,56.8177923900484,-2.422364381745743,-28.67053511264153,-140.37453242352072,338.025229380548,right
254409.463,58.540702854298615,-0.9965412615671504,-23.239477993778458,-87.47363184189712,391.3926527243218,right
254409.467,60.17882174293214,0.6853971047635878,-16.023704199505897,-19.66231631140193,-290.91991452454226,right
254409.47,61.72244758777848,2.5882849067201845,-7.75917490938175,52.39681194007419,-329.30978223840737,right
254409.474,63.15869333218738,4.659147981341609,0.7339296955851946,112.6192368733452,127.37594365477165,right
254409.478,64.46773778180054,6.823477700016577,8.625300492977278,144.18830254667313,354.22164755035715,right
254409.482,65.63250641188293,9.00543133640223,15.203385959366994,142.39379574383707,102.46435394003376,right
254409.485,66.64857348728536,11.147663598836786,19.982009797810697,116.91634561255476,-512.3283522662869,right
254409.489,67.5172156696826,13.200839157750858,22.70187199751724,78.18908364052189,-244.94422218752865,right
254409.493,68.2333959407592,15.104429804543631,23.287313965309384,29.283339279863263,644.9154627339105,right
254409.497,68.79240775539665,16.800364297245817,21.867907715751205,-23.765725610203265,352.85070441821034,right
254409.5,69.20572238172578,18.26168679846101,18.81455751259873,-64.92754297839136,-655.5949008316119,right
254409.504,69.49710401105267,19.48518736833902,14.660657154465396,-82.52616151035065,-494.68579403694974,right
254409.508,69.68432442085853,20.45870019381372,9.951050125784093,-82.78530025672086,593.1098008387555,right
254409.511,69.77670769808053,21.15698514320759,5.172282963515161,-78.62195602856666,557.274963733606,right
254409.515,69.78785793758766,21.564458641233838,0.762517764283239,-72.06556554056334,-463.8394766311596,right
254409.519,69.73665150074082,21.67708345937978,-2.921991938589256,-57.34301415651635,-483.06473164021,right
254409.523,69.63432427154001,21.480319382488936,-5.685664077622022,-34.246509963716555,315.04682746491176,right
254409.526,69.48115472250683,20.94493405786217,-7.504646725212416,-7.72179560062469,439.2947731237608,right
254409.53,69.27836156692109,20.04982117153716,-8.45190993922458,21.461125954286167,-187.33632427845933,right
254409.534,69.03468628199563,18.794869244914743,-8.641606747401621,54.59709170339791,-498.0680431429938,right
254409.538,68.7571434961296,17.185655128131852,-8.242922992204386,84.13211513574376,36.59917601483165,right
254409.541,68.44236412885896,15.219555290846593,-7.485297011697293,94.94862621870514,521.7738542651838,right
254409.545,68.08398185587791,12.900153697093192,-6.589491666002092,80.22710750488667,155.9243602897102,right
254409.549,67.68450084155597,10.258586626550915,-5.6895472802301175,49.29870291822929,-479.7970906844327,right
254409.553,67.25154217329433,7.3463302676325215,-4.841626458384608,15.613380597943204,-341.16444516252744,right
254409.556,66.78585582541311,4.213260186330148,-4.078946288590463,-15.596373826312526,490.8002412020537,right
254409.56,66.28566069563483,0.9142226436013858,-3.397874981066604,-41.430485899154974,470.8329154672754,right
254409.564,65.76251137566294,-2.465388839246026,-2.704281630779548,-53.32976372363854,-569.0576241483166,right
254409.568,65.23989117062419,-5.815899703378375,-1.852184817350357,-47.17630435810101,-552.4805090014498,right
254409.571,64.7356766362216,-9.03813584372607,-0.7551715307576139,-34.428545781354046,543.2400689713319,right
254409.575,64.25636686366786,-12.056598945630894,0.5703016543934176,-31.12424183146935,516.5560078897576,right
254409.579,63.8049293834713,-14.80782327702094,2.0394539787445334,-39.93051190724287,-364.5737149671593,right
254409.583,63.381590452825854,-17.24037466638925,3.514335056065557,-50.14790559928987,-300.6203488181601,right
254409.586,62.97635944525425,-19.3282324139278,4.794476094478469,-49.74831397973691,203.92400379970329,right
254409.59,62.56855045300898,-21.070601208916173,5.650659194222155,-31.52716223938026,174.68318228949698,right
254409.594,62.135917658060656,-22.474244719296,5.90372078902621,6.866493030622417,-104.0269747615753,right
254409.598,61.66072639832004,-23.541444148738695,5.47887534224806,59.73912232024992,-293.4759441554208,right
254409.601,61.1248566510432,-24.27749038268289,4.396060671998623,108.97411441975514,-47.02780157568636,right
254409.605,60.50380229634527,-24.699942455606664,2.744379154932828,130.52997900605934,417.3576747993693,right
254409.609,59.773711480760994,-24.825148172552986,0.7036311915625703,112.50135834938428,253.12200999000052,right
254409.614,58.92377641846126,-24.64659229613865,-1.428892428342651,64.65999807956007,-468.3183921124481,right
254409.618,57.95301643923364,-24.142014192211864,-3.299869358684814,6.060406153136019,-421.5120261701056,right
254409.621,56.85658334778306,-23.299212616919966,-4.611724301262543,-50.45166876009054,520.9265169215323,right
254409.625,55.62694245945308,-22.11552661513782,-5.158376547953104,-95.60832839500831,484.9530715776651,right
254409.629,54.26671868264036,-20.57728977985254,-4.8004601349876905,-117.01287897884995,-544.2909841776843,right
254409.632,52.78711973072317,-18.665183948507355,-3.4978051059677453,-108.09506364288993,-440.480673334298,right
254409.636,51.1941193844382,-16.380619492217182,-1.3790518500594602,-77.93611185688938,483.2081194468786,right
254409.64,49.48667242584551,-13.749856564603562,1.2682803881623754,-42.21354202919476,370.84880694869673,right
254409.643,47.66672136922403,-10.80672489479712,4.079697847371619,-8.775107351152368,-344.0855454492952,right
254409.647,45.74114054304393,-7.589203167860239,6.667961987276016,21.6741908466767,-313.0992933092584,right
254409.651,43.71376372835446,-4.152739403092516,8.638078918802957,46.729176018525926,188.51263725951765,right
254409.654,41.58377111013479,-0.5714574156255307,9.633954436097468,62.41767961516625,320.44815097684994,right
254409.658,39.35635360242669,3.0824309365075635,9.43226716512468,70.1397291707462,-39.91891771174905,right
254409.662,37.05019096573726,6.752947124408318,8.000455914184974,74.72383535831386,-476.274126220145,right
254409.666,34.68849787834913,10.38543134568418,5.45813464873434,73.32117098144262,-114.84901439654246,right
254409.669,32.28662511500443,13.906278102739526,2.010910650088372,54.67018402341798,582.3843236033351,right
254409.673,29.855958798074877,17.232137770185084,-2.049403389209543,15.089092418607835,289.6976380221082,right
254409.677,27.41680716211693,20.294755009916152,-6.3170687088617,-31.161194072925586,-471.77526926644094,right
254409.68,24.99719267181137,23.04048800374029,-10.322882056439225,-64.31234367806752,-456.284507459406,right
254409.684,22.620161354924413,25.409824628696263,-13.63966894947119,-76.38909547121673,390.247065865534,right
254409.702,20.303857422972715,27.33977322440951,-15.923224028276474,-69.72347762910775,495.3084070554555,right
254409.706,18.072866680497707,28.78574989131537,-16.89664263225841,-47.46701298921506,-471.5038115412796,right
254409.711,15.957005656156246,29.72082091204961,-16.386013981457744,-16.05218599676352,-388.11496064371966,right
254409.715,13.97866591256429,30.11499345694181,-14.39317088298618,10.467321399200566,453.0183025303775,right
254409.719,12.149980955754902,29.93240413838173,-11.101871957314057,19.991837126179146,302.1534071916097,right
254409.723,10.480829479811334,29.14773259322116,-6.816861680062113,14.172174525553237,-247.600022937841,right
254409.727,8.9811571860125,27.752325952086487,-1.9183815598829568,4.8971101388930345,-285.1759302894505,right
254409.732,7.65381276761015,25.7435605878578,3.148461992641592,1.3923031257230178,55.80636790933336,right
254409.736,6.49099981485058,23.120745910970243,7.908040061633829,5.404955744524076,324.3792776851434,right
254409.74,5.483353165205516,19.90277194803551,11.944172429943674,17.00657558160707,85.99210230533477,right
254409.744,4.630045523160446,16.14607203495398,14.97958514570242,36.41496728245388,-459.00489035809903,right
254409.748,3.933505300522316,11.934037032982786,16.866560742431812,56.00140404823757,-245.81100725254336,right
254409.752,3.3883406023251936,7.355632106462053,17.539667885038977,59.51347518384976,578.5876278642622,right
254409.757,2.987355020723973,2.5134372310828272,17.036739128581843,38.5050068540118,400.9415048055283,right
254409.761,2.7372018308730857,-2.453025656040783,15.546686818475036,3.602957334588629,-609.1788740250859,right
254409.765,2.6552871859446787,-7.378607787438253,13.355449945715677,-28.996104093122312,-527.5513659281179,right
254409.769,2.7515744581582835,-12.110564869111537,10.722663697763576,-54.6865190596169,568.867365803141,right
254409.773,3.0254557837429727,-16.519257572202278,7.8397306895507395,-74.90273365888584,577.1660397518651,right
254409.778,3.4783092815584027,-20.480799681313176,4.870623029648399,-83.81054119974685,-454.67491739582766,right
254409.782,4.114691179964455,-23.879388778754468,1.948575248807256,-73.18318589243486,-503.680387513113,right
254409.777,4.929851036247939,-26.63253956575583,-0.8769911074319161,-45.14084405445355,338.89834514670633,right
254409.781,5.906491738857155,-28.698320431577333,-3.6355155163786064,-9.750937800324516,396.57543434338993,right
254409.785,7.024658112002119,-30.0582400158372,-6.362328720416865,26.125056278531588,-233.63930081627583,right
254409.788,8.266722045430843,-30.708117543257043,-9.05073803659575,59.52512946464141,-337.87220086084994,right
254409.792,9.610532268716064,-30.668967332786945,-11.66390484951199,83.87885525976904,52.51320270201743,right
254409.796,11.024451061733249,-29.99340558130806,-14.142752796599217,89.79820118022027,373.7899769508426,right
254409.799,12.476435375934477,-28.74680257971168,-16.359844764945255,75.99431740520944,164.91281094906145,right
254409.803,13.945521495007725,-26.98479714487582,-18.08187576378141,52.29217059740698,-518.0621849793703,right
254409.807,15.416614724881091,-24.760843032073133,-19.026857075560702,26.814550242196752,-309.0036515107963,right
254409.811,16.868249282126307,-22.14593484024934,-18.959305671754727,-2.197887556094656,623.0252860263821,right
254409.814,18.27821991800877,-19.21680559183618,-17.70304112603797,-35.09782280770811,406.96318493880506,right
254409.818,19.63969165872072,-16.02677469717644,-15.109362676296508,-61.06389356197421,-622.9562651868465,right
254409.822,20.95847719316665,-12.610993066624363,-11.111888302963022,-70.2206818511286,-520.5951475438145,right
254409.825,22.235042624322773,-9.018531287978124,-5.835755009375832,-67.50763351275802,562.06489617218,right
254409.829,23.460082334894576,-5.31968406369341,0.3830470722340138,-63.87402200846198,518.1518242377872,right
254409.833,24.623720511334422,-1.588653161466224,7.066698730294284,-60.522277938145386,-418.6082048570645,right
254409.837,25.71645480774846,2.099651576884265,13.646634012602828,-50.29034718170085,-304.34539498681625,right
254409.84,26.721476394534456,5.658365562125992,19.49192706697344,-28.527479334454547,240.0603072216097,right
254409.844,27.614256957695137,8.990990688415014,23.98186367218859,4.128118198670985,168.39377436777394,right
254409.848,28.37141657889912,12.010132643084182,26.618501591031546,45.06838614188413,-103.89461048165204,right
254409.855,28.97625283100955,14.649688339633911,27.10718451408794,88.37765050210601,-270.8874371172413,right
254409.859,29.414101219569503,16.858455484370392,25.367858782787778,120.54754893917432,-32.06933389862323,right
254409.862,29.66799565185146,18.59387662428252,21.525300460424926,125.24054977401929,415.8810487991521,right
254409.866,29.72783380589715,19.83858670308177,15.9346588828067,97.87155417063472,206.21500984819545,right
254409.87,29.602253791057198,20.61976760290559,9.186822292362884,50.64141902853453,-570.1585603465301,right
254409.873,29.31155464691168,20.99348159668396,2.0014010794662767,-2.0010821602266677,-364.37295122374746,right
254409.877,28.87076514452233,21.01149396082723,-4.930540400945799,-55.19253329163339,660.5651227104252,right
254409.881,28.291038962900394,20.72074605379703,-11.010815058108188,-104.07729326722992,498.31599689921205,right
254409.884,27.59555499199161,20.18794059425843,-15.723276190787209,-133.03769946616544,-554.6735678631494,right
254409.888,26.81950567057232,19.495510051592657,-18.68553166625509,-127.7951259980196,-618.8607881896743,right
254409.892,25.99282410969272,18.707823057631877,-19.756334724198545,-92.98303587229984,415.79779028601314,right
254409.895,25.13373119991664,17.85803478364307,-19.059772329898763,-46.83149621094658,575.4961275206512,right
254409.899,24.257145130397937,16.962516670466453,-16.91146237423785,-3.3471592439352262,-329.4554137162703,right
254409.903,23.37713080664635,16.02589507499148,-13.751543898869482,32.44071217607005,-323.4289790961182,right
254409.907,22.499144186497244,15.029473169955342,-10.10975035227526,58.01084665431822,169.13423635846726,right
254409.91,21.616365405033285,13.928384746316828,-6.543007126764533,71.666048518533,195.6784147050761,right
254409.914,20.716748483363563,12.668541826707138,-3.5278084359794577,76.59263556305866,42.14236555034646,right
254409.918,19.79074623898566,11.204721388072503,-1.3687011877529187,79.32878936369782,-311.22676566167263,right
254409.921,18.828400431965008,9.499561699271794,-0.1819882174404824,80.56506414233259,-188.9120460917381,right
254409.925,17.813910153075305,7.517872426205118,0.0833633519197775,72.60340586654006,457.7430502314514,right
254409.929,16.734942577356684,5.245889412574914,-0.3358533607632324,51.04950520822486,298.36435583565924,right
254409.932,15.597368179704588,2.717732824988276,-1.0075408777566353,22.149247849948644,-619.4694335370708,right
254409.936,14.419843437189297,0.0040727397002529,-1.4129444319500606,-8.665975924905737,-432.2143919582186,right
254409.94,13.215686388057062,-2.822449016334451,-1.116203537785936,-46.02233366567565,689.9399550427819,right
254409.944,11.991653441729966,-5.69216206410006,0.1592931089683123,-91.97095936036692,514.1032249477316,right
254409.947,10.76037893609682,-8.519812446629567,2.5372874577248297,-132.54336139715548,-543.6346497488535,right
254409.951,9.538990641414928,-11.210840498092448,5.955369031797816,-147.93268999562247,-467.3437599865512,right
254409.955,8.335142355468308,-13.689256756845964,10.107305556390688,-130.39414950399765,393.1609244800021,right
254409.958,7.144756300454006,-15.9037573366981,14.475626595633534,-84.75362579200673,382.3301609166074,right
254409.962,5.962695090073344,-17.8104123241119,18.449467109830323,-19.159413196296168,-304.3992192554421,right
254409.966,4.786753294635072,-19.36692555260357,21.42316504826418,55.19881684031229,-334.2593391845945,right
254409.969,3.610348721601905,-20.546305573664636,22.845779697286854,119.75714483055084,131.397621278305,right
254409.973,2.4190451466383847,-21.342974964976705,22.284018530695228,154.76029596460685,356.86153415279216,right
254409.977,1.200200777924799,-21.755545610223415,19.52770053633744,153.29983887211563,78.64775249852167,right
254409.981,-0.0472293331184584,-21.77001854136484,14.663328258309091,124.32909130689264,-475.658653331818,right
254409.984,-1.3185218738901827,-21.371070329887107,8.040621621577445,79.59497370480152,-217.92789193757932,right
254409.988,-2.613920979977827,-20.56168834433829,0.1898264110511078,24.79374948374813,568.9492588914873,right
254409.992,-3.932878643219618,-19.353546108087755,-8.207253940211226,-32.431366552463224,325.6986416299451,right
254409.995,-5.260299511086516,-17.744014127085258,-16.33289360356511,-76.66347350006565,-584.7261687735435,right
254409.999,-6.570972945960369,-15.725815855286244,-23.347850242981917,-97.40369298207824,-451.81807990947584,right
254410.01,-7.846887418132637,-13.31866096874659,-28.559333977523387,-100.43780735887944,565.4608412935947,right
254410.014,-9.080114511849963,-10.574039025475347,-31.500781541301,-97.057602968219,479.1608352703609,right
254410.018,-10.263258782513748,-7.55706179302873,-31.92908608985299,-88.74779649959972,-467.80288118246426,right
254410.023,-11.389780519372078,-4.344822388256019,-29.84090634649421,-70.04086996291036,-308.8448696090355,right
254410.027,-12.46283573647075,-1.0385190040560752,-25.498323463806503,-39.31924110588543,305.470686473946,right
254410.031,-13.494168788525496,2.243047653899352,-19.381273709754083,0.7263569676048363,234.3329765024283,right
254410.035,-14.491558722031105,5.390156908563425,-12.072965520371897,48.10362101531988,-164.8285682286639,right
254410.04,-15.452951030908846,8.316167534992715,-4.175416012226276,97.7238567086247,-445.17858040359016,right
254410.044,-16.37590887852779,10.94389448789,3.702019190451452,133.54448961905857,34.28541814461016,right
254410.048,-17.266829503913037,13.192462309389404,10.95502350257816,134.66825091804202,568.6049199988173,right
254410.052,-18.13471111605336,14.991189362753568,17.062705409950695,94.72612213132064,160.8591261988196,right
254410.057,-18.980001761555076,16.30103340910296,21.67256029681271,30.492875292210847,-462.843040318886,right
254410.061,-19.79827389823428,17.10874975818264,24.5980640121089,-32.71233570710401,-358.66327638408,right
254410.065,-20.591750810070003,17.406820472358866,25.767711566085303,-78.38245441682407,455.0906864415886,right
254410.069,-21.364735255290743,17.201269764554233,25.237488196240093,-98.08209224286637,453.63500288298593,right
