Label,Delta_mean,Delta_std,Delta_relative,Theta_mean,Theta_std,Theta_relative,Alpha_mean,Alpha_std,Alpha_relative,Beta_mean,Beta_std,Beta_relative,Gamma_mean,Gamma_std,Gamma_relative
right,11.913046610282443,37.641094363056894,1.0940699347498264,0.2035888338950248,18.362529390337752,0.018697183810484744,0.18118695013355568,13.509577478482756,0.016639840436705848,-0.8139921152374774,76.2195878505146,-0.07475537782552384,-0.5950870352456108,414.85365762788587,-0.05465158117149322
right,2.7833488356246168,36.496190977723074,0.5964874039512283,0.8193602912366431,14.478168577427777,0.17559354643766348,0.2972752389944934,14.258964348628732,0.06370776573070597,0.6665797945319514,73.74267384345035,0.14285182154592538,0.09966821465872,413.470553209613,0.021359462334476727
right,-17.33070908796638,18.392094013560158,0.993760084299904,-0.015904908020011807,9.973102232809843,0.000912003233942912,-0.3099599001296403,16.01790459720868,0.017773408746229527,-0.028489738282741595,79.17621166369055,0.0016336299094188809,0.24553334759345713,410.79179427307,-0.014079126189495297
right,3.8560903030922966,17.725159081582056,1.2211015504773253,-0.5328995803948922,10.321476331333562,-0.16875240275028994,0.5428353583001861,17.144116363446585,0.17189874862181256,-0.7032588606707002,82.20601836852956,-0.22269978596280682,-0.004888744466335471,405.89600640154515,-0.0015481103860411336
right,7.070873561195895,13.20423718541521,0.9303530114249248,-0.06826532545929442,9.699755416507275,-0.008982037448031468,0.20592959979625253,19.67323477322383,0.027095269297895637,0.47856059698580133,86.04240301630443,0.06296680158423712,-0.08689348411291498,404.7422614519634,-0.011433044859026102
right,-2.9829141224981184,10.662941890041274,1.2735849552605725,0.7030326824193796,12.259700016628548,-0.30016682030254144,-0.3823930812981398,16.867921457818614,0.1632665424940845,0.10610045163505033,83.19692306456957,-0.04530064674995931,0.21403418329206936,408.03529679386645,-0.09138403070215619
right,-1.6746125989737735,9.971468032849735,0.6601572382204681,-0.556774824550163,12.880449644560235,0.21948893177500675,0.1981110800030496,12.705413578603327,-0.07809833958960659,-0.4143923636903092,82.22968964358559,0.16335964420731713,-0.08901876968126299,408.8353067496193,0.035092525386814476
right,1.5424670998651062,9.40033543026895,6.818172677723363,-0.7405509454050406,10.86820772122372,-3.2734599155239184,-0.656087322822413,16.352678978536595,-2.9001050713234986,0.2929621372384671,82.47565520579731,1.294981552541019,-0.21256215761343,408.4667076386967,-0.9395892434169651
right,-0.28437938746479247,7.606984961615538,4.740299230532724,0.44593205880102127,9.378816329793784,-7.4332089046575485,-0.438755537369093,17.9095126729411,7.3135839932849445,0.014629544481059353,78.86830465307206,-0.24385880799885884,0.20258145740258038,406.0080879177753,-3.3768155111612614
right,-6.542703803647215,24.30245862526356,1.6729380059117038,0.5263890514325519,15.701296867987566,-0.13459515766959054,0.37893403426584477,14.440266162976435,-0.09689161647565263,0.970498078891602,77.012171508675,-0.24815170754589158,0.755976329004427,406.52739429327096,-0.1932995242205694
