timestamps,Delta,Theta,Alpha,Beta,Gamma
254534.306,-0.00026593172175279985,-0.0004467794228006128,-0.0010581987836709877,-0.10107508724524905,-10.866246232659108
254534.31,-0.0014956465258508763,-0.0024672212424821744,-0.005601173908389186,-0.40011296304186594,24.810105490564702
254534.313,-0.0032640027564144296,-0.005155567423916084,-0.010506060734213098,-0.22103776819806073,47.09655798165746
254534.317,-0.003887312722603193,-0.005474179819243824,-0.007717570968845511,0.9444308370910166,-176.82419641972442
254534.321,-0.007885702613930365,-0.011069296316575158,-0.01622771145124403,-0.06930049839625792,-104.61785034895513
254534.324,-0.03224136450881319,-0.04990424056328488,-0.10003516393687617,-7.669259454532674,490.81517706461057
254534.328,-0.09652154240111635,-0.15106079517710597,-0.30918967245366324,-17.08015403767532,192.13971619132693
254534.331,-0.20874693558331464,-0.3189344522148938,-0.6109649491462937,-14.25320461979066,-711.2863100650372
254534.335,-0.37010597892105573,-0.5416172202374645,-0.9195615116342484,6.292264435255846,-318.9186160861694
254534.338,-0.5892817403577334,-0.8162272308255212,-1.1723987316146058,30.89500208986122,628.8801277163236
254534.342,-0.881257004580869,-1.1466288028564589,-1.3322558878758513,41.11876306354306,387.04151979845335
254534.345,-1.2561134145070991,-1.5238743265903885,-1.3444981750040452,31.59615564517018,-444.5361973016
254534.306,-1.718806812918728,-1.9265546403519296,-1.147693635680782,9.088178549706226,-257.5269340930529
254534.31,-2.275188519696747,-2.3324446173746205,-0.7123264035592223,-16.545705028478146,354.25508558106753
254534.313,-2.9296983477152954,-2.7157893495923355,-0.038874945089863736,-35.18514845618605,39.582519785774174
254534.317,-3.68153520256788,-3.0423426041268824,0.8530704667862704,-39.285587263402654,-336.55171044917205
254534.321,-4.531375579869532,-3.2828852820284338,1.8932744296144723,-30.74363721537486,-21.722884139835752
254534.324,-5.488379869030183,-3.4264791654269033,2.939464972818348,-19.437516244200186,456.7323563246088
254534.328,-6.56102004062557,-3.464915605300876,3.8370619343677275,-9.871209201296438,206.54670234802475
254534.331,-7.743607771254903,-3.370368070402018,4.493642077544417,3.703591401768243,-655.8172106506346
254534.335,-9.021622250557872,-3.1068489172917415,4.859595940272448,23.347978005388985,-355.95289242831683
254534.338,-10.386603595524363,-2.6580672642707848,4.865986141049925,37.978098191278534,650.1741895436187
254534.342,-11.835477008583615,-2.0270058700977645,4.438753863686555,35.82433273072437,370.9968413431921
254534.345,-13.359823482758248,-1.217462912498283,3.557994448871842,18.629437271008392,-464.0094838690451
254534.349,-14.947753681170578,-0.23751462722009542,2.2551121832257968,-3.3591397677389914,-311.65560179095985
254534.352,-16.59500846203924,0.881729568556084,0.5678625841106261,-22.778477509333545,346.97611795918135
254534.356,-18.30466131215072,2.088547700173831,-1.4506155839307413,-34.502440420622875,313.6066924422853
254534.359,-20.07561189646112,3.33304866078461,-3.6769719747333687,-31.052078583904535,-289.4176299814397
254534.367,-21.899412365142318,4.57463384677623,-5.912554505386906,-9.14461888071393,-411.5665287823473
254534.371,-23.770106307128533,5.766643731706218,-7.945178351927926,20.811714541938013,167.44825946837057
254534.375,-25.689707884624532,6.849253409496366,-9.590888010744969,40.465906475184156,468.62290505251394
254534.378,-27.659792710343595,7.766909137164708,-10.672748259784608,40.33224020972743,1.9700024020062394
254534.382,-29.673149547613242,8.484912988719719,-11.005415407516757,25.666396425697815,-440.00045630230863
254534.386,-31.719202100373217,8.98105707279718,-10.44563756786861,5.723487368516979,-148.37429168143473
254534.389,-33.792277792876135,9.232110398313617,-8.949942698766332,-14.73432510065329,449.56274172196106
254534.393,-35.88478728474966,9.226438888332554,-6.555814754711887,-30.347935651903942,260.9079491751978
254534.397,-37.974790176026396,8.985129668092634,-3.335935501840022,-32.32365164374081,-552.9218458393314
254534.401,-40.031131854078005,8.550929593528457,0.5695483578815445,-19.830363594298174,-372.4914979754402
254534.404,-42.02932506743538,7.958278658846618,4.885545635965274,-6.591957107670188,592.4400563704677
254534.408,-43.95246919720753,7.230294636453307,9.222759504352208,-6.337731217475882,436.0463291702293
254534.412,-45.780560032749555,6.396349305300935,13.164487299822468,-17.1601036812388,-479.3088421873416
254534.416,-47.4917422461733,5.488711570059687,16.30498923788979,-27.1857265525446,-379.49566799657936
254534.419,-49.07369074146996,4.5221704087529755,18.24796475417574,-28.56857305094719,356.22703964051055
254534.423,-50.523548085605896,3.494812256142441,18.660679924073726,-18.571507190514,341.697509812929
254534.427,-51.83529107722999,2.4110670097694165,17.37586363811066,5.7331509859207985,-267.67841861851093
254534.431,-52.99500135293282,1.290273586296276,14.435797317425346,42.66602519518316,-442.19917769113283
254534.434,-53.99118207760839,0.1486395612373645,10.046612815609585,77.38475895488217,107.07488727347557
254534.438,-54.821750524556215,-1.0124181195443307,4.533304859050876,88.87051140269479,563.090488795862
254534.443,-55.48384090685204,-2.187660120375451,-1.6425539512571625,69.56904382966526,99.47130897482094
254534.447,-55.962766990203455,-3.3488984463907676,-7.882587333825373,31.398371761365876,-636.4313896547488
254534.451,-56.24027740767089,-4.460530659234662,-13.55453241976927,-10.131510385490312,-234.9692991840853
254534.455,-56.30849239490302,-5.504658844721094,-18.119215437445327,-48.15036887756038,653.4289641643375
254534.459,-56.164967864183346,-6.472498259017459,-21.160399168251786,-76.94545112567627,321.2213757397821
254534.463,-55.79825495574401,-7.3395392939473325,-22.363359997400778,-85.2609168019541,-587.0079775719039
254534.467,-55.19048135197649,-8.071308007331496,-21.5622211375995,-67.85147375003179,-420.9680150102864
254534.471,-54.332138367806216,-8.650248138525985,-18.82263886916753,-36.09574393937451,492.07178029037624
254534.475,-53.22360671622134,-9.078395373874692,-14.436675777438575,-7.304313734320007,439.7335820216669
254534.479,-51.86508736681443,-9.359270314232127,-8.843196634095122,11.237890593675582,-404.8746091898164
254534.482,-50.256924843268436,-9.497885117563676,-2.581300488221511,21.220272802023466,-346.4907087653344
254534.486,-48.41039806200594,-9.518399020788305,3.722150780031856,23.969005561962014,299.69469297454003
254534.49,-46.35056565285839,-9.466670835666443,9.41254275858022,20.706012080785833,289.72434539205034
254534.494,-44.108409307192005,-9.393372009258004,13.916546422238392,17.641620392208957,-161.71413019567382
254534.498,-41.71589703516752,-9.342320769810458,16.82462579904979,22.466348624607193,-269.46596310367494
254534.502,-39.20965767337246,-9.354186871078486,17.914337815340332,35.26083155567229,-1.0152049576871847
254534.506,-36.6323280134496,-9.466365923280723,17.16198891461407,47.983690208865596,328.00872720756513
254534.51,-34.02085589925629,-9.69109101359816,14.784753599425992,54.606100235216516,145.9684913511461
254534.514,-31.394504427110512,-9.995373110086092,11.247909576984274,54.93277410246135,-580.8326281507191
254534.517,-28.762004493174828,-10.316738990040161,7.15577654973716,44.943010714759794,-254.97863127618902
254534.533,-26.136456780225966,-10.59334540435054,3.09924660195676,14.027553840220445,706.0128781611056
254534.537,-23.53277722364946,-10.763595909432578,-0.4098753088798738,-39.1282959297481,375.5841208677399
254534.542,-20.953979032688835,-10.746930633506535,-2.9440153599756758,-95.39759574252996,-525.6512294609096
254534.546,-18.393014468510216,-10.452727544107486,-4.22198803447786,-129.54877247257514,-501.7832447645649
254534.55,-15.848386975741033,-9.81286686162007,-4.206196904083377,-130.87575994977811,391.4353148299481
254534.554,-13.328381267091775,-8.792763319212453,-3.110875526724702,-103.53549080034736,475.8872025784059
254534.558,-10.843213670902635,-7.379730655441058,-1.3228869404607153,-55.60392199496896,-372.5318205020954
254534.562,-8.404223040458408,-5.582434735538915,0.6678566442045295,3.085987290590051,-252.24188738818185
254534.566,-6.03068555332495,-3.442138387177021,2.3184408591927452,58.72037243368618,247.24912688819958
254534.57,-3.7504233204803072,-1.0313415044626997,3.117447040023406,98.57346009254206,139.935146688351
254534.574,-1.5918205978718398,1.563715945855386,2.69944056923553,118.53075921530785,-54.42774108157787
254534.578,0.4219591775766622,4.256875502973862,0.924603403846217,121.83301703383806,-258.8474292997351
254534.582,2.2694891608370598,6.95959081386204,-2.115389068192389,110.50752435470795,-82.43598885270944
254534.586,3.927826892970105,9.57894662995508,-6.1212710918949185,83.16614963461141,416.06706822248316
254534.59,5.382746133483727,12.038671846991246,-10.581706287109201,43.56037380866761,196.04958968763282
254534.594,6.641110914723178,14.301996442821359,-14.795377736777624,2.9917862112687907,-603.8180798220978
254534.598,7.723430827429037,16.35791379024844,-18.008780797354785,-32.59167590146151,-328.04707324098683
254534.602,8.646770830101554,18.190170529875655,-19.598049269205383,-69.21432641140379,698.8163878508652
254534.606,9.424506299092497,19.776250301378553,-19.15433978928243,-110.33170760320695,402.8857285012499
254534.611,10.076928221618923,21.105374936320896,-16.49430008016134,-143.95845743429865,-545.4134536129125
254534.608,10.628457765958395,22.172913653761075,-11.70161017061692,-152.5128438224491,-353.2560413805435
254534.612,11.095461007727225,22.95905389137736,-5.172476049363146,-128.81192851130294,377.6859549576749
254534.616,11.485698761964903,23.429061804088136,2.4325752717089286,-76.79614276832923,274.82201066129693
254534.62,11.807452888158041,23.551109692273442,10.310390716222432,-5.020583153350984,-313.8209660524325
254534.623,12.071079576867097,23.30087645453329,17.617343311463422,72.69894934786252,-246.0520219649531
254534.627,12.281836062978297,22.651110359015796,23.537472929900687,135.59787757620424,183.62739245692808
254534.631,12.437819514115152,21.570645053936673,27.37101444460139,164.5537986221857,286.66001015878857
254534.634,12.538827913737048,20.04241258759228,28.65490019122023,155.12672844768952,15.507017482298647
254534.638,12.593833408033799,18.077922537281278,27.243708043665617,118.4547021129969,-410.85414179554283
254534.642,12.615103391686421,15.707236567277468,23.292631293543096,68.20504089129595,-147.65701725213455
254534.645,12.609925179837141,12.964352060047716,17.198739047797023,12.439320693204333,514.3037289580138
254534.649,12.587322543064248,9.898360351307517,9.58286340695877,-40.02199113296893,229.5719096593441
254534.653,12.569896223822665,6.592146962421427,1.2657628105191918,-76.09280130923861,-557.1155373282185
254534.656,12.588343549973127,3.1493264785673167,-6.855055947109099,-89.95022228713613,-341.120270002497
254534.66,12.666062310899752,-0.3362707417921684,-13.97293569787494,-90.52531550342806,557.9915880516362
254534.664,12.818775099246503,-3.7840680805061595,-19.45401886099084,-88.75374278152601,416.88989502525357
254534.667,13.065484310909989,-7.110121942429586,-22.847067774608654,-83.57905969368856,-469.84874410778804
254534.671,13.42766725371836,-10.231128551496578,-23.924392557645362,-67.72394443328916,-377.0607259811532
254534.675,13.917853422541494,-13.086285052146533,-22.74084975789995,-40.433647716624556,332.6115300236881
254534.679,14.537116331827496,-15.642169349910285,-19.61810525264387,-7.063335666228229,298.1411194773017
254534.699,15.282582220793836,-17.87907298272472,-15.05665898113055,28.336134878789544,-214.5197319373188
254534.704,16.14998694216016,-19.78554184346019,-9.655398134521601,62.627034188483165,-246.1868360425314
254534.709,17.128218545136527,-21.36640202758391,-4.060146744426629,88.80871230489355,103.02322345411585
254534.714,18.196793606871275,-22.644873144500316,1.1024489939531392,98.36944386086307,229.72864061604983
254534.719,19.332065587568156,-23.649051142253754,5.321257282146537,89.31754431396612,27.564532237700565
254534.724,20.514316458579135,-24.397359932177363,8.278763855502262,68.0768939449045,-253.61770821635264
254534.729,21.72546601726753,-24.901211871654944,9.859045493699352,41.51272625198891,-187.37030005696073
254534.734,22.943250479180467,-25.174242625082073,10.115695318221341,11.397274288744114,348.71331099185466
254534.739,24.14821280219518,-25.219758955151487,9.275074809524702,-19.125779133851353,348.1154003799786
254534.744,25.337066337674706,-25.00876324945447,7.7419477397548935,-41.0626462925745,-548.8017904685233
254534.749,26.51858768037484,-24.49042437351005,6.005317907914523,-50.51434062210779,-448.8848662077333
254534.754,27.6973055351992,-23.624353368881025,4.488797142677704,-56.82340621581303,636.4728773389056
254534.759,28.872129167618123,-22.386149235067734,3.485550363774762,-69.574889778487,464.0410304651531
254534.764,30.047824293668054,-20.75026664265973,3.170766519922071,-83.6122751861316,-479.4129335130304
254534.769,31.23443081702705,-18.694036156829707,3.5788744645811534,-85.64197494010052,-416.5148028116211
254534.774,32.434579334045345,-16.221984150587918,4.552550496368395,-69.65420617589488,310.93519670377805
254534.779,33.6397848484628,-13.37271761656874,5.763166665299755,-38.42485613650172,348.91970651277427
254534.784,34.83844849491228,-10.20389682737871,6.8064940626835595,3.9842823743009497,-203.65910761205896
254534.789,36.020164529117274,-6.782931434628571,7.289662926326978,52.64761085560072,-271.50944321465926
254534.794,37.17087835943088,-3.1929864134632666,6.875387531698246,96.87926538931251,38.7219164218562
254534.759,38.27085044096076,0.4667722538772914,5.331217275532467,123.1367627062095,317.265651600747
254534.762,39.30586042087554,4.104138260844128,2.6186221485187215,126.18153413607702,140.20520157692377
254534.766,40.27845200175899,7.655603093397066,-1.0520828579691222,111.23108304642149,-584.6103566454469
254534.769,41.20004073894969,11.073289322570862,-5.287475112088517,81.3141171354824,-255.52886234283346
254534.773,42.07600838132573,14.299590879480485,-9.62700259283454,31.933826316785,728.5908309275381
254534.776,42.908970307425406,17.274071549494995,-13.583881407538616,-34.575016872894615,355.9585216263149
254534.78,43.71256831389135,19.95828721571242,-16.645976965970526,-98.72699508226765,-567.4059348014594
254534.783,44.50881446740817,22.330939937798576,-18.354948555033587,-137.83733895102324,-470.64351945419855
254534.787,45.31216335326799,24.36004164114205,-18.43273248112059,-144.47653215065037,424.066012782139
254534.791,46.12680458720145,25.99930351738189,-16.821985381338944,-123.92224949545714,502.22766349901974
254534.794,46.95775368253612,27.20918971571885,-13.639512050399873,-81.9478037157595,-386.3723755743784
254534.798,47.81283936015617,27.961894973882824,-9.152305286236013,-25.274033429112496,-406.10248511490266
254534.801,48.692698784151595,28.225587840467746,-3.788394743654944,32.02901379629301,268.56646947083584
254534.805,49.58776101062784,27.96160191829635,1.9036525243561244,74.04525025507107,350.53755701869363
254534.808,50.48824412625918,27.144489409732632,7.363289208906569,95.14787203931678,-84.6382795724905
254534.812,51.390995960445665,25.775646753443528,12.106648806853547,100.11411052340219,-429.5216417096951
254534.815,52.292090417922644,23.871166003457024,15.739764937085067,92.34855647771037,-67.68129476812085
254534.819,53.179005328239874,21.448838372239344,17.961106701032975,70.02965243987016,530.5602946658267
254534.822,54.039019705942074,18.543185768394853,18.624367267955083,36.36151880938452,192.94154640959482
