timestamps,Delta,Theta,Alpha,Beta,Gamma
254432.741,-0.0002742700856451578,-0.00046078831719792033,-0.0010913789040061669,-0.10424432501932009,-11.206960437924547
254432.745,-0.00261255631767889,-0.004342260982431701,-0.010034610694258875,-0.8193483289348924,-18.133824015842805
254432.749,-0.014294778738355867,-0.023494314350691707,-0.052912467399798234,-3.7042533053069633,-52.24750939000453
254432.753,-0.054830845412801886,-0.08886762114072731,-0.19373384028812174,-11.131293967334974,53.742896619003986
254432.757,-0.15815179660470058,-0.251420358588355,-0.5234071847173003,-22.143939199661723,276.17274016556684
254432.76,-0.36442647678931706,-0.5641610410279524,-1.099892329625479,-27.61232139701058,-4.713863370481519
254432.764,-0.7104445127903951,-1.0621788748488785,-1.8920709284505275,-14.924196856185588,-416.8071843175597
254432.768,-1.2310499489738507,-1.7630353781085621,-2.7891134266770012,17.841987064101524,-188.59534600702827
254432.772,-1.9645564437387315,-2.674888098069075,-3.639842291836481,56.048471313469896,409.14955533849053
254432.776,-2.943931644738901,-3.7808833455258095,-4.23971720179477,81.6705163565951,383.23604853340714
254432.779,-4.1816772988739395,-5.014967721237015,-4.307664182480545,86.60092495309154,-565.0031026502998
254432.783,-5.674505921559447,-6.274928277611224,-3.566816730349653,67.5363068962465,-473.3767670819826
254432.741,-7.422687370342734,-7.461957965379821,-1.8851693824738973,19.21720970016944,653.8552655888693
254432.745,-9.436240757250433,-8.496460607120493,0.668809058334716,-54.924445259784065,462.51937688833385
254432.749,-11.727530488956527,-9.309149807392528,3.8610903966860235,-131.6689690470443,-378.50732667815294
254432.753,-14.30921639480824,-9.840835786436546,7.327429810483508,-177.49232458957266,-253.5217849173548
254432.757,-17.195986743961807,-10.048104347887504,10.611448555070014,-167.87594399401206,192.73168861290216
254432.76,-20.398509948040495,-9.89495460128493,13.248542893882203,-98.30748506817076,-10.448585798298788
254432.764,-23.915818329751012,-9.341931525609635,14.854274150436407,12.863329824086179,-303.7085540779814
254432.768,-27.73860450737659,-8.354597664342965,15.153298737249727,126.47965899491207,-75.19916022051987
254432.772,-31.856358702964464,-6.918269255595139,13.98093423414618,197.01542332447139,448.8594714400846
254432.776,-36.25013314950333,-5.027207993772272,11.335467077235503,199.28453651402145,390.5153483310873
254432.779,-40.87885980959824,-2.663182758157627,7.4343587703816905,142.62151416028195,-611.190786286272
254432.783,-45.685322924742316,0.19090903322628608,2.655889891635294,55.121963079091515,-522.1540263480812
254432.787,-50.61540887829055,3.515173436900014,-2.588363811819402,-38.31319856173106,681.1436515570938
254432.791,-55.620759479729905,7.248019798903778,-7.901044612206341,-117.17128453093417,489.5154851746629
254432.795,-60.64674494424918,11.30872491954052,-12.876140635988813,-159.85110900737374,-506.7142933481491
254432.799,-65.63265602276769,15.59963997019743,-17.129791481766723,-153.60072497798382,-447.0661935725062
254432.802,-70.52504409121089,19.987060516307324,-20.381304590063056,-106.83998620053883,305.8152756148237
254432.806,-75.28201262138754,24.30018293650358,-22.47669234991816,-42.35240495994335,390.6280525414662
254432.81,-79.86503174706209,28.35351933453997,-23.34331702403847,19.737176770326915,-200.76824802206016
254432.814,-84.23499585901949,31.962513767953755,-22.959857626571917,68.09771803252605,-312.2226413393015
254432.817,-88.35861653589627,34.941449599239085,-21.37134506847882,95.50070183281866,62.30462190649483
254432.821,-92.21262116221534,37.105630545596185,-18.691212657886844,98.04922294540967,317.5521669891698
254432.825,-95.77546328667907,38.295046873086775,-15.048994696521968,81.07445737580989,120.55799768613554
254432.828,-99.01726326061393,38.39937032940646,-10.54204589041615,57.86552542055684,-451.5538354540713
254432.832,-101.9047558375715,37.35449184355839,-5.267918237518205,36.32091657937394,-272.8326548544379
254432.836,-104.4127722408022,35.126151734411124,0.611475853840572,12.21382447188057,550.7438603244177
254432.84,-106.51977759604218,31.72007891772255,6.881391065612147,-18.36150794154148,395.7449562050966
254432.844,-108.19377001880548,27.20650531998023,13.327633148903569,-47.618361369696366,-564.6905412017255
254432.847,-109.39551557987689,21.71154259404399,19.709576671919457,-65.85558817102495,-498.64248306631146
254432.851,-110.09577586508586,15.382646435305151,25.681320425902953,-74.4373448028456,539.8115953714827
254432.855,-110.2793613131389,8.376925332066644,30.794635099960185,-79.00731112781521,481.12749980987667
254432.859,-109.93640921362922,0.8715025785794331,34.578209662985344,-77.07832757504312,-423.41726793828695
254432.863,-109.06194356458829,-6.941107995479882,36.58984713298945,-61.392986293852104,-284.273003732538
254432.866,-107.6637905030223,-14.872155511621362,36.43810211190507,-30.46933063187987,237.5087904143008
254432.87,-105.76369438850698,-22.74329597932647,33.83772957987077,10.341619111251765,158.81052959626157
254432.874,-103.38930698789969,-30.376988883325055,28.697824998555113,54.533625973292104,-66.45710902145566
254432.878,-100.5686315440481,-37.59151706429513,21.177022634637886,95.2684742591344,-261.3493759544002
254432.882,-97.33430102072525,-44.213415664257326,11.66764965234502,121.40111127587208,-74.57735110467027
254432.885,-93.72733677392509,-50.088657152482696,0.7578888150236153,120.69643411022764,446.22033637531706
254432.889,-89.78632962362454,-55.068398604759636,-10.766767875255674,92.39948102596254,206.0772762241085
254432.892,-85.5341958082926,-58.991673815415865,-21.94333352990434,50.05340780574959,-648.8051483548569
254432.896,-80.98518060022295,-61.704549044196895,-31.767069797650244,5.647542496913436,-325.37196842288006
254432.899,-76.16092837228882,-63.0945477778951,-39.36940140438121,-40.609458909436384,729.5278658067334
254432.903,-71.08725817995608,-63.08991512060862,-44.09260382324576,-87.68479662542673,438.4028289886329
254432.907,-65.77836956045336,-61.63631963178276,-45.49043965538694,-121.72875484587166,-601.3168754498566
254432.91,-60.23889595776685,-58.70452207698346,-43.38962384799609,-128.24414937833305,-558.546879589632
254432.914,-54.48194199686769,-54.32436368890198,-37.98874017619677,-108.97758771944379,475.3441703027171
254432.918,-48.53409204074656,-48.59310124753158,-29.852444043829998,-76.31127861187706,556.0202354785868
254432.922,-42.425463440639604,-41.65506965072387,-19.79888011205571,-37.73017822961962,-386.2540434190868
254432.925,-36.187084821448636,-33.692365765652625,-8.795094832596337,5.031395761363768,-348.830705144437
254432.929,-29.858736990455505,-24.931960032891787,2.1161327301330375,47.43844263849502,205.1876672193038
254432.933,-23.49143072808399,-15.64140449450358,11.920797249860076,81.86106512728188,222.13932673080618
254432.936,-17.138967632403478,-6.104221994729641,19.778366372587776,104.50010382127707,-4.749777903279507
254432.94,-10.850230136013113,3.4033724261779574,25.135310107370582,116.12115469425396,-313.0110248902503
254432.944,-4.672397098329526,12.616029790758159,27.752163418771637,114.75179634272524,-132.986975719197
254432.948,1.3430474408045459,21.277489555515395,27.682301670680182,93.93059080758599,396.8106378502338
254432.951,7.14670153931646,29.15959081543332,25.27179951693488,52.973128872957524,268.96861337466163
254432.955,12.703888061331517,36.09003374107724,21.149426924063796,3.472697539256285,-437.42987182314647
254432.959,17.992567822886173,41.951661919433555,16.117979658502538,-41.34660612809764,-417.0540209539757
254432.962,22.990566176410404,46.66123078414448,10.98567013220108,-78.04450364385875,500.0443598374328
254432.981,27.67656702970489,50.17101929316213,6.466738891758558,-106.29438002908962,471.536305389629
254432.986,32.04192885854279,52.48753581841315,3.144539591216069,-119.21900787426326,-528.963732142893
254432.991,36.08868056232775,53.664056992205076,1.3923918224520038,-110.6466844872956,-398.29109625268245
254432.996,39.81603421666758,53.77224716432249,1.2772311004172265,-85.36927066122658,456.3847567539753
254433.001,43.21793495545461,52.89325048923153,2.557114401881581,-53.21579782031249,321.67271497975855
254433.005,46.291858663525616,51.12845029053343,4.767685120510436,-18.01496036745224,-282.4101411248781
254433.01,49.0413675786509,48.59895366903244,7.306357536023086,20.727077767282626,-281.9044053435069
254433.015,51.46929836553138,45.42878175399701,9.49190259299284,59.10233364064963,93.65386503590462
254433.02,53.574814995786326,41.73552445288,10.651482668794449,88.6590853392529,292.9438918098739
254433.025,55.36199576838235,37.64157600377536,10.254261267268728,104.84857794209317,64.48034069522565
254433.03,56.84812173890589,33.28445070763857,8.019353888366929,109.08887921756647,-433.4090759319896
254433.035,58.05673653716832,28.800255621457143,3.9231255416640494,99.84623691689056,-212.89822068863577
254433.039,59.00612345482999,24.30008896234487,-1.8412030471574155,70.20156313914985,592.9616676435439
254433.044,59.715266975899866,19.878172033721874,-8.850871904069976,21.371565016058202,360.33951135534915
254433.049,60.2185795918788,15.635338004164112,-16.43452135348074,-29.624321390120787,-638.4326678095975
254433.054,60.56179838348542,11.66927899041035,-23.769221253628473,-65.37594621621324,-485.993632677984
254433.059,60.784048135592705,8.041632404775498,-30.051250509306534,-84.27678331598779,575.5239526983606
254433.064,60.91528235924733,4.7739645001328315,-34.58997510217809,-92.84769200736261,533.6404088126329
254433.069,60.98876098381608,1.8713626355738107,-36.82255850031372,-90.5460096821182,-436.60975416084676
