timestamps,Delta,Theta,Alpha,Beta,Gamma
254641.077,0.0003022632515532426,0.0005078183233376231,0.0012027696546837833,0.11488394209012784,12.350790258541744
254641.08,0.0031936962767746663,0.005313812785531417,0.012310213601289888,1.0225060942412652,32.83508405672315
254641.084,0.013021851803105236,0.021248624367027878,0.04702778712752898,2.8448899809000503,-155.6623059361204
254641.087,0.028311433281687927,0.0443645293008149,0.08870557625765305,1.7043875801623798,-130.742427631589
254641.091,0.03233375384340735,0.04471144174730922,0.05882877446497069,-8.410731836971243,415.8554272175473
254641.095,-0.006056621324147559,-0.02934666373355822,-0.15600893092853663,-26.2688358980162,149.27903165630397
254641.098,-0.12539058639579026,-0.23505105358565181,-0.644943027595067,-39.49759614419323,-330.3054309970097
254641.102,-0.3653305822236246,-0.6205910089818703,-1.424063324191278,-32.38718367402872,30.938990234593735
254641.105,-0.7620220075164917,-1.2141776453537787,-2.410464556406576,1.886984739601359,-157.58143318336516
254641.109,-1.349315511497863,-2.0245827323228793,-3.440183909188326,52.36975081722068,-219.14464110927497
254641.113,-2.1646404813150966,-3.050621136704741,-4.318715407992296,92.88269896627394,362.21426782528226
254641.116,-3.2507477776503904,-4.283835294828123,-4.857274964664003,98.20277622212159,193.4465512845844
254641.077,-4.652849584420894,-5.703613837499955,-4.889008148418043,61.00936858265995,-111.79898173129297
254641.08,-6.412058670579441,-7.266857160154525,-4.269802937887687,-2.2240348004099046,158.24708219506613
254641.084,-8.555860632678971,-8.894340188074043,-2.870493691699469,-59.61445864783481,-248.13081590301653
254641.087,-11.098244658470662,-10.476072696820394,-0.6156908588056512,-85.51915425365112,-528.8355362661656
254641.091,-14.048850087818016,-11.893643544009034,2.444589839212104,-77.49738937630534,496.45713174778683
254641.095,-17.415067138193724,-13.030550777700649,6.1131529077061035,-51.44487226936552,306.49079168597456
254641.098,-21.197782658314907,-13.77147883702302,10.072522331233717,-25.59073943669779,-299.42059078958994
254641.102,-25.387735741201595,-14.002779417519818,13.925355167575868,-9.354611345083322,192.64985953773217
