timestamps,Delta,Theta,Alpha,Beta,Gamma
254065.627,0.0003106010055594176,0.0005218261930937372,0.001235947348152349,0.11805294805921245,12.691479543224588
254065.631,0.0020098294898954023,0.003323425726166477,0.007588372681351013,0.5672647741002732,-18.232908978719095
254065.634,0.004507139286459782,0.007143951236083404,0.014689439920033881,0.35580616322444797,-111.57627861992026
254065.638,-0.0006133649621308309,-0.002454878358650876,-0.012914999588812015,-3.5736495215387185,70.82018975562804
254065.653,-0.03111330457246119,-0.05421442642141462,-0.13661698334764796,-12.119912510289142,307.6055138691621
254065.657,-0.10636316757761337,-0.17572288107552037,-0.3952283146474006,-18.581805504634335,-86.76975956383718
254065.662,-0.24130608675855045,-0.38138756251913114,-0.7710191151765023,-13.013029470428004,-405.3036198408013
254065.666,-0.45073554296451696,-0.6790022520563707,-1.210733818455422,5.963471842575077,-6.349851479698397
254065.671,-0.7533124545731036,-1.0760479902329978,-1.6499832438300845,28.4858972287387,383.3894362548715
254065.675,-1.1635710143853437,-1.5655322030886687,-1.9892031104166192,44.14662216486659,122.06612934348539
254065.68,-1.6831992972506042,-2.1119667401353013,-2.0774263724634565,48.90279159363598,-466.9901212902091
254065.684,-2.3081505716480786,-2.6662676049751184,-1.774765166710655,39.391094979133825,-190.84137968083797
254065.627,-3.0419436095943446,-3.1914122584812206,-1.035938072521772,10.451513520064832,535.1967060832201
254065.631,-3.896156639035712,-3.664844993931415,0.08022288444423135,-34.759975855993204,236.43704331515696
254065.634,-4.883369364521437,-4.067106770473168,1.4494827509227721,-78.7635595906536,-380.2945106438585
254065.638,-6.016890703567684,-4.382073116986973,2.8998916577840834,-99.87091139974179,-143.24662832384553
254065.653,-7.3117341911939775,-4.59913841347342,4.230565349373185,-85.34404994700107,248.9130061618254
254065.657,-8.778047993651018,-4.7023786179746505,5.264955220758216,-35.902892801239865,-67.82044214054605
254065.662,-10.416179700223616,-4.663305199158786,5.889484670255157,33.49959234996227,-309.90862613910423
254065.666,-12.221986528108152,-4.452071667125309,6.037957942163886,95.23532308162689,74.79060882764642
254065.671,-14.191814389566506,-4.047993830861681,5.67378277461255,121.12098975272211,412.6145198819733
254065.675,-16.31539378999556,-3.428950346617956,4.821767486038079,101.42959648935427,117.21164491815955
254065.68,-18.567937781127124,-2.5600736670542323,3.592697487138228,50.14148702553094,-505.9538665205447
