timestamps,Delta,Theta,Alpha,Beta,Gamma
254327.563,-0.002072065130665453,-0.003481179518495111,-0.008245187097293567,-0.7875486327070494,-84.66673239098347
254327.567,-0.018363214896451527,-0.030496307669616373,-0.07034152696687751,-5.667730349832196,-80.84615071687571
254327.571,-0.07838285601324743,-0.1279815591089888,-0.28372347162254863,-17.600145027099423,371.2333832692205
254327.575,-0.22169052389164828,-0.35333363296519354,-0.7390935794779299,-30.033636174641337,270.6344097534737
254327.579,-0.48423911961842514,-0.7471127238691723,-1.440340452930771,-26.93512380816721,-633.6907701252187
254327.583,-0.8993155963464373,-1.3322596600915355,-2.3057042480904375,0.11624478267147786,-348.88530989105215
254327.587,-1.5074793357187417,-2.129546321921235,-3.2204168072236357,39.54868229422909,517.0483718277317
254327.591,-2.356124128419634,-3.15505049914038,-4.048199527150468,69.48689221151179,240.8549646472618
254327.603,-3.4905844361539273,-4.403609463606682,-4.612379829629246,75.23925669845208,-189.99828284696423
254327.608,-4.950285542149155,-5.842522712951973,-4.709991126634931,55.501926615864974,-139.17229114246544
254327.613,-6.771948096309195,-7.418978302853768,-4.163582512194751,17.921466882123134,-15.337083225353103
254327.618,-8.990480327061508,-9.06451383131988,-2.861193823536982,-25.22673606263549,216.40597681253522
254327.563,-11.632270246977175,-10.687455625211605,-0.7579556390132641,-58.71907445136285,23.890279935628115
254327.567,-14.7127957891793,-12.174344854926485,2.1083792907638417,-71.47027193606422,-471.24786830255425
254327.571,-18.243048048252984,-13.407602006412068,5.5743588070468855,-64.59255805734041,261.32107883711126
254327.575,-22.227125518912988,-14.268144718460736,9.363823505577745,-46.02790583885984,523.3147656817994
254327.579,-26.65241328184424,-14.625771702827928,13.145868919199994,-21.434680566813558,-619.178856793114
254327.583,-31.493218325476686,-14.353582610010823,16.541262651414023,2.7375806416946853,-256.8669232815385
254327.587,-36.72321216997743,-13.356976024706404,19.10406467095141,15.897599273875363,548.9157320216359
254327.591,-42.31730348547568,-11.582315158853802,20.368004136540655,12.300770051871272,135.40468469321414
254327.603,-48.24485972811525,-9.008671549975642,19.940047165610977,-0.63413988433648,-190.28673891201498
254327.608,-54.46777723851875,-5.646546617376427,17.56820790364734,-8.135020147797437,-198.40600500067336
