timestamps,Delta,Theta,Alpha,Beta,Gamma
254513.592,-0.0018555671235799425,-0.0031174513629911157,-0.00738369556008598,-0.7052622668295264,-75.82039906013719
254513.596,-0.01594825963443548,-0.02647613271301849,-0.061017107644607306,-4.886912799029833,-52.120083888580496
254513.6,-0.0661406752654942,-0.10788623915790174,-0.23860722826700784,-14.535152850300282,337.67757544851554
254513.603,-0.180236051919045,-0.2865138329727167,-0.5953785299014492,-22.64455854682525,245.46972364890675
254513.607,-0.37401714946749387,-0.5732781801442075,-1.0855442895493614,-14.045960593424141,-603.4058718168279
254513.611,-0.6524921804383563,-0.9530268818980423,-1.57999843177134,16.501204632137256,-492.8921991496074
254513.615,-1.0248040183790097,-1.4113045112767773,-1.9543110951179081,51.719049415299025,566.0324901233331
254513.619,-1.506515480918121,-1.9388652435199678,-2.117620829651634,66.23941930803194,543.444615223036
254513.622,-2.1084685210787293,-2.5130016338727392,-1.9799155136915523,49.739983095523804,-344.27240937357993
254513.626,-2.834900433104411,-3.0958772515975768,-1.4628031118437397,10.402354764684793,-395.4540375432279
254513.63,-3.6937461612047406,-3.654371861963231,-0.5603484945892933,-36.69605652478522,203.943937007606
254513.634,-4.701304878495366,-4.169446386710251,0.638775821824906,-76.09667547130289,291.3066046300918
254513.592,-5.8777961366281275,-4.628921569714924,1.983575865748795,-93.23443692829554,-179.42294200596547
254513.596,-7.246747031881467,-5.02649931913258,3.2851432912354293,-80.46933687749326,-230.6022860152475
254513.6,-8.83659126722964,-5.364202513071598,4.33728008043254,-41.72553649319413,317.9327475951076
254513.603,-10.6703162381232,-5.634169763211807,4.988332555134981,13.331632473934903,194.63086141327614
254513.607,-12.750346528501755,-5.793820113448943,5.217099428248755,74.33118110208574,-546.4883007617561
254513.611,-15.061266267566788,-5.774296727220821,5.106359175684139,123.72722012592965,-379.2627022207398
254513.615,-17.586111454750743,-5.513348541714787,4.746063975986189,135.3021209495326,569.9654637815645
254513.619,-20.309942476818996,-4.965431635018813,4.198080993825126,93.01180432519661,567.8574795979175
254513.622,-23.2098929094386,-4.087784700940242,3.526626110113309,9.75144213455867,-374.0364225250768
254513.626,-26.254376765000835,-2.84241131408228,2.789902306591372,-79.78702647551734,-444.91028080221497
254513.63,-29.414383088580472,-1.2182935857388966,1.9859336188159893,-142.15076561022119,199.31905294190963
254513.634,-32.669036598641334,0.7582641697269938,1.0399997329523845,-158.61873636982935,271.0185619007548
254513.638,-35.999898463477095,3.034748187012839,-0.14441475030407505,-125.56883768479584,-80.3648402328124
254513.641,-39.38588620441602,5.543570271707833,-1.6342609809620687,-53.476634602309026,-245.85775320531766
254513.645,-42.80700569729161,8.198720663620534,-3.457708420895236,33.12135765367435,-74.74144226195702
254513.649,-46.24815075848099,10.893407504526891,-5.599020979427377,103.82424581807209,341.17454319566656
254513.653,-49.689892188003185,13.520884245811502,-7.945495546750223,139.52825139542065,232.20082476470725
254513.656,-53.09648641257213,15.999189852792579,-10.24419943824893,139.99017038757535,-577.0226609165106
254513.66,-56.42239674168438,18.262310213199406,-12.1645615198682,111.7469703252356,-332.75873076990285
254513.664,-59.62826608220937,20.23481928377887,-13.410663124645211,57.82652086899287,681.0901971795714
254513.673,-62.68112298335575,21.834771767881,-13.757173819047015,-13.855448725726273,372.54193531442843
254513.676,-65.54444742378732,22.99434747085148,-13.034312719306794,-82.54691488354862,-513.589688818794
254513.679,-68.18165358108533,23.65671947744371,-11.167050721875892,-126.06448047602036,-349.0854662767258
254513.682,-70.56883170343447,23.75718833749341,-8.24013031422064,-135.4614089090782,386.0391087656202
254513.685,-72.69393582672174,23.228792134721605,-4.481134333471445,-112.71190161564812,358.0225505405838
254513.688,-74.54343409725364,22.0295423567542,-0.17535332214542673,-62.0320194047761,-357.4601355409133
254513.691,-76.09885144068217,20.151046325764803,4.37565570669181,6.84917549888651,-454.748607479091
254513.694,-77.34780402108635,17.600838023392566,8.831840284531378,71.93718630307998,220.91160840730282
254513.697,-78.29127109262154,14.391196027860124,12.816502901686897,107.40718449447338,449.8061242470027
254513.7,-78.93820113797192,10.549963824799516,15.979519678375306,101.95805521472303,7.224442152532257
